State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[1][0]	m[1][1]	m[1][2]	m[2][0]	m[2][1]	m[2][2]	
69000	-53618.1	0.980174	0.00406474	0.0157616	0.0100861	0.985952	0.00396232	0.0021257	0.00150009	0.996374	
70000	-53581.5	0.961844	0.0323886	0.00576736	0.0196133	0.976258	0.00412905	0.0263206	0.00531816	0.968361	
71000	-53528.5	0.971802	0.0147544	0.0134435	0.00107868	0.998628	0.000293038	0.0382664	0.0262433	0.93549	
72000	-53501.7	0.982652	0.00869747	0.00865034	0.00181688	0.997131	0.00105237	0.00179294	0.000764201	0.997443	
73000	-53494.2	0.988077	0.0067087	0.00521399	0.0144961	0.982464	0.00304012	0.0427515	0.0177652	0.939483	
74000	-53520.5	0.993971	0.00550933	0.000519858	0.0115492	0.984843	0.00360731	0.00163889	0.0667952	0.931566	
75000	-53549.9	0.978257	0.0141233	0.00761977	0.00362967	0.995444	0.000926006	0.0224028	0.00489799	0.972699	
76000	-53527.7	0.968764	0.00631714	0.0249189	0.00573918	0.964738	0.0295232	0.0411975	0.0927319	0.866071	
77000	-53488.8	0.995154	0.00384317	0.00100316	0.00741636	0.992304	0.000279324	0.0410253	0.00328816	0.955687	
78000	-53509.5	0.988066	0.00535333	0.00658039	0.0153187	0.968178	0.0165037	0.0013256	0.018469	0.980205	
79000	-53511.5	0.980842	0.0125513	0.00660666	0.0153195	0.982369	0.0023113	0.0117865	0.0769855	0.911228	
80000	-53508.8	0.972421	0.0108351	0.0167438	0.00618432	0.960636	0.0331799	0.0428717	0.00903702	0.948091	
81000	-53452.6	0.988394	0.00614173	0.00546417	0.0104103	0.983833	0.00575649	0.000867313	0.0514057	0.947727	
82000	-53463.7	0.966869	0.0304159	0.00271526	0.0142455	0.961833	0.0239214	0.0752339	0.0404636	0.884303	
83000	-53460.2	0.983418	0.00188331	0.0146989	0.000247048	0.990966	0.00878671	0.00611925	0.00865039	0.98523	
84000	-53435.1	0.987637	0.00850788	0.00385548	0.00141934	0.993944	0.00463644	0.0335348	0.002998	0.963467	
85000	-53409.6	0.983078	0.0135611	0.00336057	0.00367654	0.988518	0.00780544	0.00111894	0.0129372	0.985944	
86000	-53393.8	0.985959	0.00901889	0.00502201	0.0143915	0.98498	0.000628687	0.011604	0.0367863	0.95161	
87000	-53378.7	0.971297	0.00407058	0.0246321	0.0016131	0.955556	0.0428313	0.0897581	0.105138	0.805103	
88000	-53374.6	0.986482	0.00103944	0.0124782	0.00931545	0.965993	0.0246917	0.0148959	0.00215134	0.982953	
89000	-53376	0.990132	0.00506663	0.00480154	0.00371241	0.987738	0.00854988	0.040107	0.026884	0.933009	
90000	-53370.2	0.995533	0.00404402	0.000423029	0.000390932	0.996179	0.0034305	0.00237218	0.000730812	0.996897	
91000	-53362.4	0.982199	0.00984545	0.00795594	0.00155273	0.994	0.00444773	0.00807891	0.0903151	0.901606	
92000	-53312.4	0.981235	0.00656259	0.0122025	0.004734	0.993721	0.0015451	0.0300336	0.088178	0.881788	
93000	-53338.3	0.98866	0.00487921	0.00646082	0.0180086	0.960448	0.0215431	0.0369675	0.0261494	0.936883	
94000	-53313	0.938577	0.0192465	0.0421762	0.00108178	0.989422	0.00949669	0.0464922	0.0894922	0.864016	
95000	-53294.4	0.98497	0.0136442	0.0013858	0.00363095	0.995591	0.000778093	0.0833831	0.0161916	0.900425	
